指标,样本量,H,p_raw,epsilon_squared,p_adj_holm,显著性_raw,显著性_adj,是否显著,版本
肛门括约肌静息压(mmHg),1062,362.6158,1.815432996119361e-79,0.341768,1.815432996119361e-78,***,***,True,M2_新公平_Attn_topk6
最大缩榨压MSP（mmHg）,1062,224.2588,2.008240966997938e-49,0.211366,1.807416870298144e-48,***,***,True,M2_新公平_Attn_topk6
肛门括约肌长度(cm),1062,99.4792,2.502505898026378e-22,0.09376,2.0020047184211026e-21,***,***,True,M2_新公平_Attn_topk6
缩肛持续时间(s),1062,7.588,0.022505722924971234,0.007152,0.09002289169988494,*,ns,False,M2_新公平_Attn_topk6
排便时直肠压力(mmHg),1062,42.3019,6.520023697569969e-10,0.03987,4.564016588298978e-09,***,***,True,M2_新公平_Attn_topk6
最大容量感觉阈值(ml),1047,8.9031,0.011660725619315512,0.008512,0.05830362809657756,*,ns,False,M2_新公平_Attn_topk6
初始感觉阈值(ml),1045,5.138,0.07661276444844224,0.004921,0.22983829334532674,ns,ns,False,M2_新公平_Attn_topk6
初始便意阈值(ml),1052,1.3332,0.5134497315085143,0.001269,1.0,ns,ns,False,M2_新公平_Attn_topk6
排便窘迫感阈值(ml),1052,9.7125,0.007779706171661214,0.009241,0.04667823702996728,**,*,True,M2_新公平_Attn_topk6
RAIR诱发最小容积(ml),1062,1.2062,0.5471243848382661,0.001137,1.0,ns,ns,False,M2_新公平_Attn_topk6
